customerNumber,checkNumber,paymentDate,amount
103,HQ336336,2004-10-19,5307.98
103,JM555205,2003-06-05,16560.3
103,OM314933,2004-12-18,2311.68
112,BO864823,2004-12-17,14449.61
112,HQ55022,2003-06-06,33847.62
112,ND748579,2004-08-20,34453.85
114,GG31455,2003-05-20,50397.66
114,MA765515,2004-12-15,85591.32
114,NP603840,2003-05-31,9738.18
114,NR27552,2004-03-10,49637.57
119,DB933704,2004-11-14,20719.91
119,LN373447,2004-08-08,56002.9
119,NG94694,2005-02-22,59617.44
121,DB889831,2003-02-16,54702
121,FD317790,2003-10-28,1474.66
121,KI831359,2004-11-04,19769.68
121,MA302151,2004-11-28,40652.85
124,AE215433,2005-02-18,51826.36
124,AQ50522,2005-06-03,32194.79
124,BG255406,2004-08-28,93928.73
124,CQ287967,2003-04-11,12398.56
124,ET64396,2005-04-16,121972.78
124,HI366474,2004-12-27,50547.68
124,HR86578,2004-11-02,63075.06
124,KI131716,2003-08-15,122368.67
124,LF217299,2004-03-26,48922.77
124,NT141748,2003-11-25,50360.89
128,DI925118,2003-01-28,11432.34
128,FA465482,2003-10-18,27257.79
128,FH668230,2004-03-24,37266.49
128,IP383901,2004-11-18,9214.97
129,DM826140,2004-12-08,30348.72
129,ID449593,2003-12-11,25431.88
129,PI42991,2003-04-09,18695.58
131,CL442705,2003-03-12,25783.76
131,KG113538,2004-05-22,45357.66
131,MA724562,2004-12-02,53152.28
131,NB445135,2004-09-11,39775.74
141,AU364101,2003-07-19,39615.82
141,DB583216,2004-11-01,34872.13
141,DL460618,2005-05-19,22353.86
141,HJ32686,2004-01-30,65165.17
141,ID10962,2004-12-31,133588.75
141,IN446258,2005-03-25,95065.46
141,JE105477,2005-03-18,90135.87
141,JN355280,2003-10-26,53502.3
141,JN722010,2003-02-25,44621.96
141,KT52578,2003-12-09,72487.5
141,MC46946,2004-07-09,91328.4
141,MF629602,2004-08-16,21986.27
141,NU627706,2004-05-17,28327.64
144,IR846303,2004-12-12,66005.88
144,LA685678,2003-04-09,9749
145,CN328545,2004-07-03,4749.45
145,ED39322,2004-04-26,31329.56
145,HR182688,2004-12-01,24078.61
145,JJ246391,2003-02-20,58871.11
146,FP549817,2004-03-18,46802.27
146,FU793410,2004-01-16,54536.87
146,LJ160635,2003-12-10,41535.11
148,BI507030,2003-04-22,43657.47
148,DD635282,2004-08-11,3127.88
148,KM172879,2003-12-26,122028.73
148,ME497970,2005-03-27,4175.6
151,BF686658,2003-12-22,64316.09
151,GB852215,2004-07-26,23252.18
151,IP568906,2003-06-18,68462.15
151,KI884577,2004-12-14,41706.52
157,HI618861,2004-11-19,44040.73
157,NN711988,2004-09-07,71930.61
161,BR352384,2004-11-14,2916.2
161,BR478494,2003-11-18,62305.47
161,KG644125,2005-02-02,13529.57
161,NI908214,2003-08-05,42031.83
166,BQ327613,2004-09-16,42902.84
166,DC979307,2004-07-07,45788.72
166,LA318629,2004-02-28,24219.59
167,ED743615,2004-09-19,16363.1
167,GN228846,2003-12-03,95277.18
171,GB878038,2004-03-15,20178.13
171,IL104425,2003-11-22,48874.28
172,AD832091,2004-09-09,2173.6
172,CE51751,2004-12-04,56812.67
172,EH208589,2003-04-20,38217.41
173,GP545698,2004-05-13,14380.92
173,IG462397,2004-03-29,21782.7
175,IO448913,2003-11-19,26115.8
175,PI15215,2004-07-10,44130.52
177,AU750837,2004-04-17,17114.43
177,CI381435,2004-01-19,50490.64
181,CM564612,2004-04-25,24804.34
181,GQ132144,2003-01-30,6864.05
181,OH367219,2004-11-16,56372.87
186,AE192287,2005-03-10,26422.82
186,AK412714,2003-10-27,42083.5
186,KA602407,2004-10-21,42744.06
187,AM968797,2004-11-03,57827.61
187,BQ39062,2004-12-08,48962.28
187,KL124726,2003-03-27,51017.92
